nuFnu_syn,nu_syn,CLASS,SED_class,GLON,LP_beta,GLAT,Frac_Variability,Pivot_Energy,Highest_energy,PL_Index,SpectrumType,Unc_Frac_Variability,LP_Index,Unc_Energy_Flux100,Unc_Flux1000,Variability_Index,Flux1000,Unc_LP_Index,Energy_Flux100,Signif_Avg,Unc_PL_Index,Unc_LP_beta,Flags,Redshift
-26.370564,36.270496,BLL,HSP,129.85223,0.017504014,-37.211563,0.73455894,7.7986293,5.247103,1.9108651,PowerLaw,-1.8220217,1.8915883,-27.796778,6.750847e-11,5.717744,-20.16838,-3.3800082,-24.632187,3.8529963,0.028056953,-4.232009,0,0.358
-25.822973,29.620207,FSRQ,LSP,144.50386,0.040427964,-73.4404,0.96741605,6.6611824,2.990991,2.3714983,PowerLaw,-1.5499461,2.3522072,-28.349958,4.8380494e-11,5.78789,-20.94243,-3.103679,-25.295824,3.3795438,0.03884048,-3.6734357,0,0.67
-27.631021,27.631021,BLL,LSP,192.046,0.6767676,-83.65052,0.0,8.794591,4.2699475,1.8218677,PowerLaw,2.3025851,1.1521845,-29.143822,2.0237232e-11,2.0299525,-23.769209,-0.42694536,-28.178984,1.1934295,0.24444464,-0.52377826,4096,0.279
-26.567533,29.46136,FSRQ,LSP,169.55531,0.12931535,-81.526344,0.9522894,7.0933495,2.5133646,2.3660126,LogParabola,-1.5336734,2.2666998,-27.784798,5.8393464e-11,5.156301,-21.042912,-2.374474,-25.728588,2.9711351,0.058702897,-2.9079638,0,1.49
-26.049812,29.432442,FSRQ,LSP,173.40576,0.055907086,-81.72015,0.472508,6.9644337,3.8798592,2.3045197,LogParabola,-2.2657447,2.3009994,-27.57389,8.4688194e-11,5.910867,-19.739014,-3.6025324,-24.259245,4.0716944,0.019880222,-4.2903733,0,1.165
-26.83123,37.037163,BLL,HSP,152.18536,0.087236255,-76.2582,0.22733885,8.219016,4.041211,1.8103536,PowerLaw,-1.7481532,1.7136325,-28.43794,3.4210086e-11,2.7008102,-21.867294,-2.177344,-26.268448,2.8053513,0.07190512,-2.8877425,0,0.114699
-26.60338,29.236668,FSRQ,LSP,134.65796,0.11392455,-50.38151,0.0,8.303282,3.008461,2.0005605,PowerLaw,2.3025851,1.8749702,-28.90363,2.5923833e-11,2.4621696,-23.208326,-1.0594783,-27.702423,1.4258819,0.21665849,-1.5319101,0,0.571315
-27.10082,34.999924,BLL,HSP,277.26886,0.07799178,-76.304276,0.35196656,7.915847,3.7812648,1.9385256,PowerLaw,-1.6862319,1.86703,-28.688717,2.944914e-11,2.8923638,-22.056627,-2.2038925,-26.53245,2.6901531,0.07812047,-2.873052,0,0.39
-25.270731,40.617603,BLL,HSP,130.34883,0.041935522,-28.06065,0.3266213,8.718511,5.617353,1.7421539,PowerLaw,-1.5140541,1.685725,-28.50786,3.39461e-11,2.7873595,-22.140425,-2.0518477,-26.483503,2.6215749,0.08737031,-2.8753004,0,0.272
-27.631021,27.631021,BLL,LSP,129.30544,-0.045733884,-20.307108,0.0,9.199428,5.3412952,1.8391879,PowerLaw,2.3025851,1.8431702,-28.898607,2.912186e-11,2.8210206,-23.472654,-1.67766,-27.894716,1.4374247,0.24951822,-2.7357812,0,0.186
-25.880388,41.34292,BLL,HSP,186.41393,0.027637942,-81.700134,0.29177484,8.082199,5.1141543,1.858914,PowerLaw,-2.1106675,1.8268363,-28.287943,4.099198e-11,3.0391762,-21.394335,-2.6296384,-25.829369,3.100221,0.057327066,-3.4336793,0,0.404
-27.118782,31.250223,BLL,LSP,145.4401,0.09671998,-67.83154,0.8125007,7.2106457,2.5915015,2.2768795,PowerLaw,-1.4352938,2.243191,-28.626799,3.256429e-11,3.760076,-22.164862,-1.9993036,-26.592506,2.2653859,0.10107762,-2.3268673,0,2.117
-26.841326,30.805262,BLL,LSP,148.84595,0.12749268,-69.38138,0.1051637,7.0329657,3.184988,2.138459,LogParabola,-2.145398,1.9929352,-28.210012,5.362686e-11,2.6616926,-20.985514,-2.554855,-25.799955,3.1982203,0.04767821,-3.1523726,0,0.36
